Id,Project,SATD comment,On-hold or not
4510,jfreechart-1.0.19,// Note: It would be nice to pre-calculate this per series,no
4511,jfreechart-1.0.19,"// we assume that all other Paint instances implement equals() and // hashCode()...of course that might not be true, but what can we // do about it?",no
4512,jfreechart-1.0.19,// FIXME: use other fields too,no
4513,jfreechart-1.0.19,"// all attributes are immutable, so we can just return the super.clone() // FIXME: in fact, the generator itself is immutable, so cloning is // not necessary",no
4514,jfreechart-1.0.19,"// here's a quirk - the API has been defined in terms of a plain // TimePeriod, which cannot make use of the timezone and locale // specified in the constructor...so we only do the time zone // pegging if the period is an instanceof RegularTimePeriod",no
4515,jfreechart-1.0.19,"// now handle specific plot types (and yes, I know this is some // really ugly code that has to be manually updated any time a new // plot type is added - I should have written something much cooler, // but I didn't and neither did anyone else).",no
4516,jfreechart-1.0.19,// TODO: URLEncode?,no
4517,jfreechart-1.0.19,// TODO Revert to SVN revision 2469 in JFreeChart 1.0.16 // (MultipleGradientPaint's / JDK issues) // TODO THEN: change visibility of ALL darker(...) Methods EXCEPT // darker(Paint) to private!,no
4518,jfreechart-1.0.19,//TODO replace getSize by getBounds ?,no
4519,jfreechart-1.0.19,// TODO: check threshold,no
4520,jfreechart-1.0.19,"// FIXME: add setBaseItemURLGenerator(CategoryURLGenerator, boolean) ?",no
4521,jfreechart-1.0.19,"// FIXME: add setSeriesItemURLGenerator(int, CategoryURLGenerator, boolean)?",no
4522,jfreechart-1.0.19,"// now we handle some special cases - yes, UGLY code alert!",no
4523,jfreechart-1.0.19,// FIXME: it probably makes sense to allocate an array of 256 Colors // and lazily populate this array...,no
4524,jfreechart-1.0.19,// TODO: need to fetch this from localised resources,no
4525,jfreechart-1.0.19,// FIXME: No getValueFormat() method?,no
4526,jfreechart-1.0.19,"// here we could probably be a little faster by searching for both // indices simultaneously, but I'll look at that later if it seems // like it matters...",no
4527,jfreechart-1.0.19,// TODO: complete this,no
4528,jfreechart-1.0.19,// FIXME: this attribute is never used - deprecate?,no
4529,jfreechart-1.0.19,// FIXME: Clone the attributed string if it is not null,no
4530,jfreechart-1.0.19,// report this?,no
4531,jfreechart-1.0.19,// this may be obsolete (not used anywhere),no
4532,jfreechart-1.0.19,// TODO: is this a good idea?,no
4533,jfreechart-1.0.19,/// a kludge to make everything work when no rows returned,no
4534,jfreechart-1.0.19,//TODO: shift block down by half,no
4535,jfreechart-1.0.19,// FIXME better ask the renderer instead of DatasetUtilities,no
4536,jfreechart-1.0.19,// TODO: implement the entity for the annotation,no
4537,jfreechart-1.0.19,// needs to be improved !!!,no
4538,jfreechart-1.0.19,// not used by plot,no
4539,jfreechart-1.0.19,// FIXME: need a locale as well as a timezone,no
4540,jfreechart-1.0.19,"// TODO: For JFreeChart 1.2.0, this method should go in the // ShapeUtilities class",yes
4541,jfreechart-1.0.19,"// we'll have to use the method in the interface, but // this doesn't have the paint and stroke settings...",no
4542,jfreechart-1.0.19,// FIXME: Check that there isn't already a series with the same key,no
4543,jfreechart-1.0.19,// I know it's bad to create object. better idea?,no
4544,jfreechart-1.0.19,// FIXME: clone generator,no
4545,jfreechart-1.0.19,// TODO: use a generator here,no
4546,jfreechart-1.0.19,"// TODO: I think we need to make sure the keys are actually cloned, // whereas the paint instances are always immutable so they're OK",no
4547,jfreechart-1.0.19,// FIXME: draw outliers,no
4548,jfreechart-1.0.19,"// TODO: I think we need to make sure the keys are actually cloned, // whereas the stroke instances are always immutable so they're OK",no
4549,jfreechart-1.0.19,// not implemented,no
4550,jfreechart-1.0.19,"/** * Returns a string representing the week (e.g. ""Week 9, 2002""). * * TODO: look at internationalisation. * * @return A string representing the week. */",no
4551,jfreechart-1.0.19,// FIXME: show a dialog with the error,no
4552,jfreechart-1.0.19,// TODO: draw the interval marker with a 3D effect,no
4553,jfreechart-1.0.19,// TODO: add serialization support for images,no
4554,jfreechart-1.0.19,// could make this configurable,no
4555,jfreechart-1.0.19,// TODO see if we need to apply some line color and style to the // axis traces,no
4556,jfreechart-1.0.19,// FIXME: implement this...,no
4557,jfreechart-1.0.19,/** * An annotation that allows an image to be placed at some location on * an {@link XYPlot}. * * TODO: implement serialization properly (image is not serializable). */,no
4558,jfreechart-1.0.19,// the plot field is NOT tested,no
4559,jruby-1.4.0,"// TODO: we loose encoding information here, fix it",no
4560,jruby-1.4.0,"/* TODO: We should use implicit nil for body, but problem (punt til later)*/",no
4561,jruby-1.4.0,// TODO: Numeric.new works in Ruby and it does here too. However trying to use // that instance in a numeric operation should generate an ArgumentError. Doing // this seems so pathological I do not see the need to fix this now.,no
4562,jruby-1.4.0,"// TODO: Adding implicit nils caused multiple problems in compiler -- revist after landing //assert bodyNode != null : ""bodyNode is not null"";",no
4563,jruby-1.4.0,// TODO: take BigDecimal.mode into account.,no
4564,jruby-1.4.0,// TODO: full-precision remainder is 1000x slower than MRI!,no
4565,jruby-1.4.0,// FIXME: for some reason this dispatcher causes a VerifyError... //classClass.dispatcher = callbackFactory.createDispatcher(classClass);,no
4566,jruby-1.4.0,"// FIXME: I doubt any of the constants referenced in this method // are ever redefined -- should compare to the known values, rather // than do an expensive constant lookup.",no
4567,jruby-1.4.0,"// TODO: Rewriter and compiler assume case when empty expression. In MRI this is just // a when. // assert caseNode != null : ""caseNode is not null"";",no
4568,jruby-1.4.0,// TODO: don't require pop,no
4569,jruby-1.4.0,"// XXX Wrong, but will have to do for now",no
4570,jruby-1.4.0,/** * Get value from current scope or one of its captured scopes. * * FIXME: block variables are not getting primed to nil so we need to null check those * until we prime them properly. Also add assert back in. * * @param offset zero-indexed value that represents where variable lives * @param depth how many captured scopes down this variable should be set * @return the value here */,no
4571,jruby-1.4.0,// IMPORTANT: Receive the block argument before the opt and splat args // This is so that the *arg can be encoded as 'rest of the array'. This // won't work if the block argument hasn't been received yet!,no
4572,jruby-1.4.0,// FIXME: I got a bunch of NPEs when I didn't check for nulls here...HOW?!,no
4573,jruby-1.4.0,// SSS FIXME: // // There are also differences in variable scoping between 1.8 and 1.9 // Ruby 1.8 is the buggy semantics if I understand correctly. // // The semantics of how this shadows other variables outside the block needs // to be figured out during live var analysis.,no
4574,jruby-1.4.0,"// This was a getOpt with one mandatory arg, but it did not work // so I am parsing it for now.",no
4575,jruby-1.4.0,"// This is the result of a bug that left off all trailing arguments. E.g.: // system ""ls"", ""-1"", ""dir"" // would be seen as // system ""ls""",no
4576,jruby-1.4.0,// FIXME: Broken but behaving,no
4577,jruby-1.4.0,"// TODO: We overflow on large files...We could increase to long to limit // this, but then the impl gets more involved since java io APIs based on // int (means we have to chunk up a long into a series of int ops).",no
4578,jruby-1.4.0,// If we outgrow our pushback stack then grow it (this should only happen in pretty // pathological cases).,no
4579,jruby-1.4.0,"// FIXME: Arg may also be true, false, and nil and still be valid. Strangely enough, // protocol conversion is not happening in Ruby on this arg?",no
4580,jruby-1.4.0,// TODO: proper sign,no
4581,jruby-1.4.0,"// TODO: In MRI 1.9, an explicit check for negative length is // added here. IndexError is raised when length is negative. // See [ruby-core:12953] for more details. // // New note: This is actually under re-evaluation, // see [ruby-core:17483].",no
4582,jruby-1.4.0,// ENEBO: Very wrong,no
4583,jruby-1.4.0,"// FIXME: if we terminate immediately, this appears to break while in method arguments // we need to push a nil for the cases where we will never enter the body",no
4584,jruby-1.4.0,// The following constants capture pre-known static call sites -- JRuby implementations of methods of ruby classes // SSS FIXME: Note that compiler/impl/BaseBodyCompiler is using op_match2 for match() and and op_match for match2 ... Is this a bug there?,no
4585,jruby-1.4.0,"// SSS FIXME: This doesn't preserve original order of when clauses. We could consider // preserving the order (or maybe not, since we would have to sort the constants first // in any case) for outputing jump tables in certain situations. // // add body to map for emitting later",no
4586,jruby-1.4.0,"// SSS FIXME: Why is the for node being built using closures and not as a ""regular"" loop with branches? // // This has implications on inlining, implementations of closures, next, break, etc. // When ""each"" and the block it consumes are inlined together in the caller, the ""loop"" // from the each should become a normal loop without any closures. But, in this implementation // of for, we replace one closure with another! //",no
4587,jruby-1.4.0,// synchronized method per JRUBY-1173 (unsafe Double-Checked Locking) // FIXME: synchronization is still wrong in CP code,yes
4588,jruby-1.4.0,"// vulture thread will periodically expunge dead // entries. entries are also expunged during 'put' // operations; this is designed to cover the case where // many objects are created initially, followed by limited // put activity. // // FIXME: DISABLED (below) pending resolution of finalization issue //",no
4589,jruby-1.4.0,"// FIXME: We are assuming that original string will be raw bytes. If -Ku is provided // this will not be true, but that is ok for now. Deal with that when someone needs it.",no
4590,jruby-1.4.0,// TODO: Ruby locks the string here,no
4591,jruby-1.4.0,// TODO: Rubicon TestKernel dies without this line. A cursory glance implies we // falsely set $! to nil and this sets it back to something valid. This should // get fixed at the same time we address bug #1296484.,yes
4592,jruby-1.4.0,// MRI 1.8 behavior: this combination of flags is not allowed,no
4593,jruby-1.4.0,// zero args with block // FIXME: omit args index; subtract one from normal block index,no
4594,jruby-1.4.0,// FIXME: It may be possible to killpg on systems which support it. POSIX library // needs to tell whether a particular method works or not,no
4595,jruby-1.4.0,// TODO: This code effectively disables all inspection-based optimizations; none of them are 100% safe yet,no
4596,jruby-1.4.0,// FIXME: No argument seems to work for -K in MRI plus this should not // siphon off additional args 'jruby -K ~/scripts/foo'. Also better error // processing.,no
4597,jruby-1.4.0,// We are in eval with binding break out early // FIXME: This is broken with the new backtrace stuff,no
4598,jruby-1.4.0,// FIXME: This is a system error based on errno,no
4599,jruby-1.4.0,// TODO: make sure it's really safe to not to copy it,no
4600,jruby-1.4.0,// FIXME: not correct exception,no
4601,jruby-1.4.0,// FIXME: We can't guarantee this will always be a RubyIO...so the old code here is not safe,no
4602,jruby-1.4.0,"// dump the trace and continue // this is currently only here for Android, which seems to have // bugs in its enumeration logic // http://code.google.com/p/android/issues/detail?id=2812",yes
4603,jruby-1.4.0,"// FIXME: Add at_exit and finalizers to exit, then make exit_bang not call those.",no
4604,jruby-1.4.0,"// TODO: need to isolate the ""current"" thread from class creation",no
4605,jruby-1.4.0,// XXX actually only on windows...,no
4606,jruby-1.4.0,// Enebo : Should ~frogger\\foo work (it doesnt in linux ruby)?,no
4607,jruby-1.4.0,// FIXME can't use static; would interfere with other runtimes in the same JVM,no
4608,jruby-1.4.0,// TODO: anything threads attached to original fd are notified of the close... // see rb_thread_fd_close,no
4609,jruby-1.4.0,"// TODO: This is an freopen in MRI, this is close, but not quite the same",no
4610,jruby-1.4.0,// FIXME: check how ruby 1.9 handles this,no
4611,jruby-1.4.0,// TODO: full-precision divmod is 1000x slower than MRI!,no
4612,jruby-1.4.0,"// FIXME: I'm not sure this is right, but the old code returned // the undef, which definitely isn't right...",no
4613,jruby-1.4.0,// FIXME: MRI has special case for constants here,no
4614,jruby-1.4.0,// FIXME: Throw the right ArgumentError's if the class is missing // or if it's a module.,no
4615,jruby-1.4.0,// FIXME: This isn't quite right; it shouldn't evaluate the value if it's going to throw the error,no
4616,jruby-1.4.0,// FIXME: -x flag not supported // case 'x' : // break;,no
4617,jruby-1.4.0,// FIXME: This is causing a verification error for some reason //nilClass.dispatcher = callbackFactory.createDispatcher(nilClass);,no
4618,jruby-1.4.0,"// Walk up the scope tree right now as much as possible, to avoid run-time walking // SSS FIXME: Any reason why this might break in the presence of ruby's dynamic resolution? What might break?",no
4619,jruby-1.4.0,// FIXME: Errno descriptions from Constantine // on Windows are not useful at the moment.,no
4620,jruby-1.4.0,// FIXME: this should reset to what it was before,no
4621,jruby-1.4.0,// SSS FIXME: Incorect!,no
4622,jruby-1.4.0,"// FIXME: vulture daemon thread prevents finalization, // find alternative approach. // vulture.start();",no
4623,jruby-1.4.0,"// FIXME: this seems like a good assertion, but it breaks compiled code and the code seems // to run without it... //assert currentModule != null : ""Can't push null RubyClass"";",no
4624,jruby-1.4.0,/** Are there are available data flow facts to run this problem? SSS FIXME: Silly optimization? */,no
4625,jruby-1.4.0,"// SSS FIXME: For constant arrays, we should never get here!",no
4626,jruby-1.4.0,// FIXME: This is wrong,no
4627,jruby-1.4.0,// FIXME: may need to broaden for IPV6 IP address strings,no
4628,jruby-1.4.0,// TODO: sys fail,no
4629,jruby-1.4.0,// SSS FIXME: Verify semantics of this instruction,no
4630,jruby-1.4.0,// we basically ignore protocol. let someone report it...,no
4631,jruby-1.4.0,// SSS FIXME: Is this correct?,no
4632,jruby-1.4.0,// FIXME: I use a for block to implement END node because we need a proc which captures // its enclosing scope. ForBlock now represents these node and should be renamed.,no
4633,jruby-1.4.0,// SSS FIXME: 1. Is the ordering correct? (poll before next),no
4634,jruby-1.4.0,// We use a highly uncommon string to represent the paragraph delimiter (100% soln not worth it),no
4635,jruby-1.4.0,"// add a ""self"" recv here // TODO: is this right?",no
4636,jruby-1.4.0,"// TODO: // MRI behavior: Call ""+"" or ""add"", depending on the call. // But this leads to exceptions when Floats are added. See: // http://blade.nagaokaut.ac.jp/cgi-bin/scat.rb/ruby/ruby-core/17374 // return callCoerced(context, op, b, true); -- this is MRI behavior. // We'll use ours for now, thus providing an ability to add Floats.",yes
4637,jruby-1.4.0,// SSS FIXME: Is this correctly placed ... at the end of the loop iteration?,no
4638,jruby-1.4.0,"// TODO: Ruby reuses this logic for other ""write"" behavior by checking if it's an IO and calling write again",no
4639,jruby-1.4.0,// SSS FIXME: Where does this go? // m.setLinePosition(arrayNode.getPosition());,no
4640,jruby-1.4.0,"// it would be nice (and logical!) if exponent form // behaved like E/e, and decimal form behaved like f, // but no such luck. hence:",no
4641,jruby-1.4.0,// SSS FIXME: These should get normally compiled or initialized some other way ... // SSS FIXME: Parent/super-type info is incorrect! // These are just placeholders for now .. this needs to be updated with *real* class objects later!,no
4642,jruby-1.4.0,// TODO: NOT_ALLOCATABLE_ALLOCATOR is probably ok here. Confirm. JRUBY-415,yes
4643,jruby-1.4.0,"// SSS FIXME: I could make IR_Loop a scope too ... semantically, it is a scope, but, functionally, not sure if this is required yet ...",no
4644,jruby-1.4.0,"// this covers the rare case of lower-case class names (and thus will // fail 99.999% of the time). fortunately, we'll only do this once per // package name. (and seriously, folks, look into best practices...)",no
4645,jruby-1.4.0,// SSS FIXME: Should this be a string literal or a string? // Dummy class for the script,no
4646,jruby-1.4.0,"// TODO should this be deprecated ? (to be efficient, internals should deal with RubyHash directly)",no
4647,jruby-1.4.0,"// SSS FIXME: Does int suffice, or do we need long?",no
4648,jruby-1.4.0,// modules are included with a shim class; we must find that shim to handle super() appropriately,no
4649,jruby-1.4.0,"// Reset value map if this instruction is the start/end of a basic block // // Right now, calls are considered hard boundaries for optimization and // information cannot be propagated across them! // // SSS FIXME: Rather than treat all calls with a broad brush, what we need // is to capture different attributes about a call : // - uses closures // - known call target // - can modify scope, // - etc. // // This information is probably already present in the AST Inspector",no
4650,jruby-1.4.0,// TODO: Determine whether we should perhaps store non-singleton class // in the implementationClass,no
4651,jruby-1.4.0,// SSS FIXME: Correct? Where does closure arg come from?,no
4652,jruby-1.4.0,/* FIXME: Consider fixing node_assign itself rather than single case*/,no
4653,jruby-1.4.0,// SSS FIXME: Should I have a reference to the IR_loop that is being retried?,no
4654,jruby-1.4.0,// temporary hack to handle non-Ruby values // will come up with better solution shortly,no
4655,jruby-1.4.0,"// Simplify the variables too -- to keep these variables in sync with what is actually used in the when clauses // This is not required for correctness reasons, but only for performance reasons.",no
4656,jruby-1.4.0,"// Must be called from main thread (it is currently, but this bothers me)",no
4657,jruby-1.4.0,// CON FIXME: I don't know how to make case be an expression...does that // logic need to go here?,no
4658,jruby-1.4.0,// FIXME: legal here? may want UnsupportedOperationException,no
4659,jruby-1.4.0,// FIXME: This is an ugly hack to resolve JRUBY-1381; I'm not proud of it,no
4660,jruby-1.4.0,// Something wrong we don't know the cwd... // TODO: Is this behavior really desirable? /mov,no
4661,jruby-1.4.0,// TODO: no java stringity,no
4662,jruby-1.4.0,// FIXME: Total hack to get flash in Rails marshalling/unmarshalling in session ok...We need // to totally change marshalling to work with overridden core classes.,no
4663,jruby-1.4.0,// TODO: this method is not present in MRI!,no
4664,jruby-1.4.0,"// FIXME: Ideally JavaObject instances should be marshallable, which means that // the JavaObject metaclass should have an appropriate allocator. JRUBY-414",yes
4665,jruby-1.4.0,// TODO: public only?,no
4666,jruby-1.4.0,// FIXME: This should probably do some translation from Ruby priority levels to Java priority levels (until we have green threads),no
4667,jruby-1.4.0,// TODO: Consider a better way of synchronizing,no
4668,jruby-1.4.0,"// using IOInputStream may not be the most performance way, but it's easy.",no
4669,jruby-1.4.0,// FIXME: We should not be regenerating this over and over,no
4670,jruby-1.4.0,"// XXX: This check previously used callMethod(""=="") to check for equality between classes // when scanning the hierarchy. However the == check may be safe; we should only ever have // one instance bound to a given type/constant. If it's found to be unsafe, examine ways // to avoid the == call.",no
4671,jruby-1.4.0,"// TODO: why are we duplicating the constants here, and then in // File::Constants below? File::Constants is included in IO.",no
4672,jruby-1.4.0,// A cloned method now belongs to a new class. Set it. // TODO: Make DynamicMethod immutable,no
4673,jruby-1.4.0,"// TODO: These were missing, so we're not handling them elsewhere?",no
4674,jruby-1.4.0,// TODO: cache?,no
4675,jruby-1.4.0,// FIXME: wtf is this? Why would these use the class?,no
4676,jruby-1.4.0,// TODO: Figure out how this can happen and possibly remove,no
4677,jruby-1.4.0,// FIXME: I don't like this,no
4678,jruby-1.4.0,"// FIXME: these descriptions should probably be moved out, // to Constantine project which deals with all platform-dependent constants.",no
4679,jruby-1.4.0,"// FIXME this below is temporary, but its much safer for COW (it prevents not shared Strings with begin != 0) // this allows now e.g.: ByteList#set not to be begin aware",no
4680,jruby-1.4.0,// TODO: what about n arg?,no
4681,jruby-1.4.0,// FIXME: I think this chunk is equivalent to MRI id2name (and not our public method // id2name). Make into method if used more than once.,no
4682,jruby-1.4.0,"// FIXME: This is probably not very efficient, since it loads all methods for each call",no
4683,jruby-1.4.0,/* Hack in to replace usual readline with this */,no
4684,jruby-1.4.0,"// if we get here, we found a matching method, use it // TODO: choose narrowest method by continuing to search",no
4685,jruby-1.4.0,// TODO: this is kinda gross,no
4686,jruby-1.4.0,"// FIXME: In order for Thread to play well with the standard 'new' behavior, // it must provide an allocator that can create empty object instances which // initialize then fills with appropriate data.",no
4687,jruby-1.4.0,// these extra arrays are really unfortunate; split some of these paths out to eliminate?,no
4688,jruby-1.4.0,"// We clone dynamic scope because this will be a new instance of a block. Any previously // captured instances of this block may still be around and we do not want to start // overwriting those values when we create a new one. // ENEBO: Once we make self, lastClass, and lastMethod immutable we can remove duplicate",no
4689,jruby-1.4.0,// TODO: protected methods. this is going to require a rework // of some of the mechanism.,no
4690,jruby-1.4.0,"// if not overloaded, we add a method that guesses at which signature to use // TODO: just adding first one right now...add in signature-guessing logic",no
4691,jruby-1.4.0,// SSS FIXME: This should never get called for constant svalues,no
4692,jruby-1.4.0,/* * TODO: This version is better than the hackish previous one. Windows * behavior needs to be defined though. I suppose this version * could be improved more too. * TODO: /etc/passwd is also inadequate for MacOSX since it does not * use /etc/passwd for regular user accounts */,no
4693,jruby-1.4.0,// FIXME: There's some code duplication here with RubyObject#inspect,no
4694,jruby-1.4.0,"// for visibility checking without requiring frame self // TODO: don't bother passing when fcall or vcall, and adjust callsite appropriately",no
4695,jruby-1.4.0,// FIXME: figure out why we get null sometimes,no
4696,jruby-1.4.0,// Hacky: Advance position to eat newline here....,no
4697,jruby-1.4.0,// need to reexamine this,no
4698,jruby-1.4.0,"// FIXME: This is currently only here because of some problems with IOOutputStream writing to a ""bare"" runtime without a proper scope",no
4699,jruby-1.4.0,// Workaround for JRUBY-4149,yes
4700,jruby-1.4.0,"// using IOOutputStream may not be the most performance way, but it's easy.",no
4701,jruby-1.4.0,// ignore...bean doesn't get registered // TODO: Why does that bother me?,no
4702,jruby-1.4.0,/* ENEBO: Lots of optz in 1.9 parser here*/,no
4703,jruby-1.4.0,// FIXME: move out of this class!,no
4704,jruby-1.4.0,"// IN FACT, we should probably raise an error, yes?",no
4705,jruby-1.4.0,//TODO: ary_sort_check should be done here,no
4706,jruby-1.4.0,"// TODO: get rid of this (lax returns 0.0, strict will throw)",no
4707,jruby-1.4.0,"// bit risky if someone changes completor, but useful for method calls",no
4708,jruby-1.4.0,// TODO: the rest of this...seeking to same position is unnecessary since we share a channel // but some of this may be needed?,no
4709,jruby-1.4.0,// TODO: is this the right thing to do?,no
4710,jruby-1.4.0,// FIXME: this probably belongs in a different package.,no
4711,jruby-1.4.0,// FIXME: not very efficient,no
4712,jruby-1.4.0,"// This is GROSS, but Java API's aren't ISO 8601 compliant at all",no
4713,jruby-1.4.0,// TODO: is this correct ?,no
4714,jruby-1.4.0,/* Workaround for JRUBY-2326 (MRI does not enter this production for some reason)*/,yes
4715,jruby-1.4.0,// Create block for this iter node // FIXME: We shouldn't use the current scope if it's not actually from the same hierarchy of static scopes,no
4716,jruby-1.4.0,/* SSS FIXME: Do we need to check if l is same as whatever popped? */,no
4717,jruby-1.4.0,// SSS FIXME: Where is this set up? How is this diff from ClassVarDeclNode??,no
4718,jruby-1.4.0,// Fixme: Do we need the check or does Main.java not call this...they should consolidate,no
4719,jruby-1.4.0,// FIXME: This table will get moved into POSIX library so we can get all actual supported // signals. This is a quick fix to support basic signals until that happens.,no
4720,jruby-1.4.0,"// FIXME: This worries me a bit, since it could allocate a lot with a large newLength",no
4721,jruby-1.4.0,// TODO: This filtering is kind of gross...it would be nice to get some parser help here,no
4722,jruby-1.4.0,// TODO: decompose getJavaPackageModule so we don't parse fullName,no
4723,jruby-1.4.0,// FIXME: Get rid of laziness and handle restricted access elsewhere,no
4724,jruby-1.4.0,"// TODO: for now, we use a faithful // reimplementation of MRI's algorithm, // but should use UTF8Encoding facilities // from Joni, once it starts prefroming // UTF-8 content validation.",no
4725,jruby-1.4.0,"// if we don't have opt args, start after args (they will be assigned later) // this is for crap like def foo(a = (b = true; 1)) which numbers b before a // FIXME: only starting after required args, since opt args may access others // and rest args conflicts with compileRoot using ""0"" to indicate [] signature.",no
4726,jruby-1.4.0,"// FIXME: Determine if a real allocator is needed here. Do people want to extend // JavaClass? Do we want them to do that? Can you Class.new(JavaClass)? Should // you be able to? // TODO: NOT_ALLOCATABLE_ALLOCATOR is probably ok here, since we don't intend for people to monkey with // this type and it can't be marshalled. Confirm. JRUBY-415",yes
4727,jruby-1.4.0,"// grrr, arghh, want to subclass sun.misc.FloatingDecimal, but can't, // so we must do all this (the next 70 lines of code), which has already // been done by FloatingDecimal.",no
4728,jruby-1.4.0,"// FIXME: do we really want 'declared' methods? includes private/protected, and does _not_ // include superclass methods. also, the getDeclared calls may throw SecurityException if // we're running under a restrictive security policy.",no
4729,jruby-1.4.0,// small hack to save a cast later on,no
4730,jruby-1.4.0,// This is perhaps innefficient timewise? Optimal spacewise,no
4731,jruby-1.4.0,// TODO: confirm expected args are IRubyObject (or similar),no
4732,jruby-1.4.0,"// There's not a compelling reason to keep JavaClass instances in a weak map // (any proxies created are [were] kept in a non-weak map, so in most cases they will // stick around anyway), and some good reasons not to (JavaClass creation is // expensive, for one; many lookups are performed when passing parameters to/from // methods; etc.). // TODO: faster custom concurrent map",no
4733,jruby-1.4.0,// TODO: check for Java reserved names and raise exception if encountered,no
4734,jruby-1.4.0,// FIXME: JRUBY-3188 ends up with condition returning null...quick fix until I can dig into it,yes
4735,jruby-1.4.0,"// Workaround for a bug in Sun's JDK 1.5.x, see // http://bugs.sun.com/bugdatabase/view_bug.do?bug_id=6303753",yes
4736,jruby-1.4.0,// FIXME weakref.rb also does caller(2) here for the backtrace,no
4737,jruby-1.4.0,// FIXME: Remove this from grammars.,no
4738,jruby-1.4.0,"// TODO: It's perhaps just a coincidence that all the channels for // which we should raise are instanceof SelectableChannel, since // stdio is not...so this bothers me slightly. -CON",no
4739,jruby-1.4.0,"// FIXME: Not sure what the semantics of transfer are //cFiber.defineFastMethod(""transfer"", cb.getFastOptMethod(""transfer""));",no
4740,jruby-1.4.0,"// FIXME: This is pretty gross; we should have a cleaner initialization // that doesn't depend on package-visible fields and ideally is atomic, // probably using an immutable structure we replace all at once. // lazy, null when no groups defined",no
4741,jruby-1.4.0,// This is a dummy scope; we should find a way to make that more explicit,no
4742,jruby-1.4.0,/* FIXME: Resolve what the hell is going on*/,no
4743,jruby-1.4.0,/** rb_obj_id * * Return the internal id of an object. * * FIXME: Should this be renamed to match its ruby name? */,no
4744,jruby-1.4.0,"// again, shouldn't happen. TODO: might want to throw exception instead.",no
4745,jruby-1.4.0,"// FIXME: Maybe not best place, but move it to a good home",no
4746,jruby-1.4.0,"// TODO: NOT_ALLOCATABLE_ALLOCATOR may be ok here, but it's unclear how Structs // work with marshalling. Confirm behavior and ensure we're doing this correctly. JRUBY-415",yes
4747,jruby-1.4.0,//TODO: Should next and return also catch here?,no
4748,jruby-1.4.0,// We always prepend an org.jruby.proxy package to the beginning // because java and javax packages are protected and signed // jars prevent us generating new classes with those package // names. See JRUBY-2439.,yes
4749,jruby-1.4.0,"// TODO: we should be able to optimize this quite a bit post-1.0. JavaClass already // has all the methods organized by method name; the next version (supporting protected // methods/fields) will have them organized even further. So collectMethods here can // just lookup the overridden methods in the JavaClass map, should be much faster.",no
4750,jruby-1.4.0,"// index for the item // this could probably be more efficient, bailing out on assigning args past the end?",no
4751,jruby-1.4.0,// TODO: make more efficient by not creating IRubyArray[],no
4752,jruby-1.4.0,/** rb_mod_remove_cvar * * FIXME: any good reason to have two identical methods? (same as remove_class_variable) */,no
4753,jruby-1.4.0,// from DUP_SETUP // rb_copy_generic_ivar from DUP_SETUP here ...unlikely..,no
4754,jruby-1.4.0,"// If it's a single-arg when but contains an array, we know it's a real literal array // FIXME: This is a gross way to figure it out; parser help similar to yield argument passing (expandArguments) would be better",no
4755,jruby-1.4.0,// TODO: Only setAccessible to account for pattern found by // accessing constants included from a non-public interface. // (aka java.util.zip.ZipConstants being implemented by many // classes),no
4756,jruby-1.4.0,"// not intended to be called directly by users (private) // OLD TODO from Ruby code: // This should be implemented in JavaClass.java, where we can // check for reserved Ruby names, conflicting methods, etc.",no
4757,jruby-1.4.0,// FIXME: Don't allow multiple threads to do this at once,no
4758,jruby-1.4.0,// TODO: Bleeding runtime into parser. Arity may be should be in parser (to keep bleeding oneway),no
4759,jruby-1.4.0,"/** rb_ary_push_m * FIXME: Whis is this named ""push_m""? */",no
4760,jruby-1.4.0,"// TODO: This probably isn't the best hack, but it works until we can have different // root frame setup for 1.9 easily.",yes
4761,jruby-1.4.0,"// TODO: At least ParserSupport.attrset passes argsNode as null. ImplicitNil is wrong magic for // setupArgs since it will IRubyObject[] { nil }. So we need to figure out a nice fast // null pattern for setupArgs. // assert argsNode != null : ""receiverNode is not null"";",no
4762,jruby-1.4.0,"// HACK: in order to have stdout/err act like ttys and flush always, // we set anything assigned to stdout/stderr to sync",no
4763,jruby-1.4.0,// TODO: People extending GzipWriter/reader will break. Find better way here.,no
4764,jruby-1.4.0,// FIXME: set up a call configuration for this,no
4765,jruby-1.4.0,"/** * Process streams get Channel.newChannel()ed into FileChannel but are not actually * seekable. So instead of just the isSeekable check doing instanceof FileChannel, * we must also add this boolean to check, which we set to false when it's known * that the incoming channel is from a process. * * FIXME: This is gross, and it's NIO's fault for not providing a nice way to * tell if a channel is ""really"" seekable. */",no
4766,jruby-1.4.0,// FIXME: Somehow I'd feel better if this could get the appropriate var index from the ArgumentNode,no
4767,jruby-1.4.0,// FIXME: Can get optimized for IEqlNode,no
4768,jruby-1.4.0,// TODO: rounding mode should not be hard-coded. See #mode.,no
4769,jruby-1.4.0,// FIXME moved this here to get what's obviously a utility method out of IRubyObject. // perhaps security methods should find their own centralized home at some point.,no
4770,jruby-1.4.0,"// FIXME: If NativeException is expected to be used from Ruby code, it should provide // a real allocator to be used. Otherwise Class.new will fail, as will marshalling. JRUBY-415",yes
